code_commune_insee;nom_de_la_commune;code_postal;ligne_5;libelle_d_acheminement;coordonnees_gps
01298;PLAGNE;01130;;PLAGNE;46.187663445,5.717614314
01301;POLLIAT;01310;;POLLIAT;46.246261733,5.138026638
01303;PONCIN;01450;;PONCIN;46.089241591,5.416477869
01306;PONT DE VEYLE;01290;;PONT DE VEYLE;46.263130344,4.881934778
01309;POUILLAT;01250;;POUILLAT;46.322247823,5.423675216
01318;RANCE;01390;;RANCE;45.967701639,4.863876498
01325;RIGNIEUX LE FRANC;01800;;RIGNIEUX LE FRANC;45.952055457,5.169195101
01337;ST BENIGNE;01190;;ST BENIGNE;46.452112405,4.953091729
01343;ST CYR SUR MENTHON;01380;;ST CYR SUR MENTHON;46.275678354,4.967816288
01348;ST DIDIER SUR CHALARONNE;01140;;ST DIDIER SUR CHALARONNE;46.184466911,4.816238863
01356;ST GEORGES SUR RENON;01400;;ST GEORGES SUR RENON;46.103915441,5.029419348
01367;ST JULIEN SUR REYSSOUZE;01560;;ST JULIEN SUR REYSSOUZE;46.399974319,5.103904994
01369;ST JUST;01250;;ST JUST;46.193166212,5.284094836
01384;ST RAMBERT EN BUGEY;01230;;ST RAMBERT EN BUGEY;45.950974834,5.440151097
01387;ST SULPICE;01340;;ST SULPICE;46.320649871,5.041695744
01391;SALAVRE;01270;;SALAVRE;46.363763372,5.34719405
01396;SAULT BRENAZ;01150;;SAULT BRENAZ;45.865304092,5.403592522
01398;SAVIGNEUX;01480;;SAVIGNEUX;45.997204438,4.857494223
01412;SULIGNAT;01400;;SULIGNAT;46.173182813,4.957236347
01422;TOSSIAT;01250;;TOSSIAT;46.138520943,5.303608596
01426;VAL REVERMONT;01370;CUISIAT;VAL REVERMONT;46.285726208,5.363443289
01427;TREVOUX;01600;;TREVOUX;45.941022518,4.770446779
01428;VALEINS;01140;;VALEINS;46.114578347,4.865170317
01430;VARAMBON;01160;;VARAMBON;46.043475712,5.294333115
01431;VAUX EN BUGEY;01150;;VAUX EN BUGEY;45.920191061,5.364013485
01434;VERSAILLEUX;01330;;VERSAILLEUX;45.985673328,5.11240819
01443;VILLARS LES DOMBES;01330;;VILLARS LES DOMBES;45.99261764,5.044997679
01445;VILLEMOTIER;01270;;VILLEMOTIER;46.345699459,5.310381953
01449;VILLETTE SUR AIN;01320;;VILLETTE SUR AIN;46.009841816,5.252083338
01451;VIRIAT;01440;;VIRIAT;46.250752259,5.223071857
02004;AGNICOURT ET SECHELLES;02340;;AGNICOURT ET SECHELLES;49.716473106,3.961000078
02008;AIZY JOUY;02370;JOUY;AIZY JOUY;49.438697879,3.51124666
02011;AMBLENY;02290;;AMBLENY;49.376624509,3.183778907
02013;AMIFONTAINE;02190;;AMIFONTAINE;49.498637877,3.922881332
02018;ANIZY LE GRAND;02320;ANIZY LE CHATEAU;ANIZY LE GRAND;49.516096173,3.453032228
02022;ARCY STE RESTITUE;02130;;ARCY STE RESTITUE;49.25492425,3.478630764
02037;AULNOIS SOUS LAON;02000;;AULNOIS SOUS LAON;49.619869289,3.609481451
02039;AUTREMENCOURT;02250;;AUTREMENCOURT;49.70534608,3.793573722
02040;AUTREPPES;02580;;AUTREPPES;49.897099289,3.856002204
02044;BANCIGNY;02140;;BANCIGNY;49.798022992,4.036526042
02049;BARISIS AUX BOIS;02700;;BARISIS AUX BOIS;49.577527949,3.32757202
02051;BARZY SUR MARNE;02850;;BARZY SUR MARNE;49.091339484,3.561668993
02053;VALLEES EN CHAMPAGNE;02330;BAULNE EN BRIE;VALLEES EN CHAMPAGNE;49.007940641,3.616555648
02054;BAZOCHES ET ST THIBAUT;02220;BAZOCHES SUR VESLES;BAZOCHES ET ST THIBAUT;49.30645766,3.615341588
02058;BEAURIEUX;02160;;BEAURIEUX;49.402093342,3.752392574
02064;BELLEU;02200;;BELLEU;49.357066699,3.340164292
02068;BERLANCOURT;02250;;BERLANCOURT;49.780638512,3.755414842
02072;BERRIEUX;02820;;BERRIEUX;49.482937389,3.852502532
02079;BESMONT;02500;;BESMONT;49.823483767,4.117458406
02084;BEZU LE GUERY;02310;;BEZU LE GUERY;49.010472985,3.227843038
02089;BILLY SUR AISNE;02200;;BILLY SUR AISNE;49.355352711,3.375941298
02094;BLESMES;02400;;BLESMES;49.026472378,3.464235685
02099;BONNESVALYN;02400;;BONNESVALYN;49.126198595,3.32510263
02101;BOSMONT SUR SERRE;02250;;BOSMONT SUR SERRE;49.739164547,3.866951038
02104;BOUFFIGNEREUX;02160;;BOUFFIGNEREUX;49.378528828,3.846143285
02107;BOURGUIGNON SOUS COUCY;02300;;BOURGUIGNON SOUS COUCY;49.543351686,3.154672717
02111;BRANCOURT EN LAONNOIS;02320;;BRANCOURT EN LAONNOIS;49.516508164,3.412722641
02115;BRAYE EN LAONNOIS;02000;;BRAYE EN LAONNOIS;49.437398745,3.609863828
02120;BRENELLE;02220;;BRENELLE;49.368284047,3.54436136
02122;BRIE;02870;;BRIE;49.597375488,3.473167317
02128;BRUYERES ET MONTBERAULT;02860;;BRUYERES ET MONTBERAULT;49.524775786,3.669533869
02140;CAMELIN;02300;;CAMELIN;49.52049848,3.127624347
02142;CASTRES;02680;;CASTRES;49.800742628,3.253372217
02155;CHAILLEVOIS;02000;;CHAILLEVOIS;49.508011773,3.522228189
02167;CHASSEMY;02370;;CHASSEMY;49.377956997,3.502218046
02168;CHATEAU THIERRY;02400;;CHATEAU THIERRY;49.056425662,3.381541175
02169;CHATILLON LES SONS;02270;;CHATILLON LES SONS;49.761912822,3.702869899
02170;CHATILLON SUR OISE;02240;;CHATILLON SUR OISE;49.793931936,3.416909399
02179;CHERY CHARTREUVE;02220;;CHERY CHARTREUVE;49.255681433,3.604732022
02180;CHERY LES POUILLY;02000;;CHERY LES POUILLY;49.648935895,3.593859599
02188;CHIGNY;02120;;CHIGNY;49.930254202,3.776579181
02194;CILLY;02250;;CILLY;49.749214967,3.840427798
02200;CLERMONT LES FERMES;02340;;CLERMONT LES FERMES;49.659955976,3.942881467
02204;COINGT;02360;;COINGT;49.792206431,4.096641733
02205;COLLIGIS CRANDELAIN;02860;;COLLIGIS CRANDELAIN;49.466886752,3.630999721
02216;CORCY;02600;;CORCY;49.254744735,3.196921964
02218;COUCY LES EPPES;02840;;COUCY LES EPPES;49.556314209,3.778188629
02219;COUCY LA VILLE;02380;;COUCY LA VILLE;49.540398928,3.343560148
02220;COULONGES COHAN;02130;;COULONGES COHAN;49.19861845,3.627455228
02220;COULONGES COHAN;02130;COHAN;COULONGES COHAN;49.19861845,3.627455228
02221;COUPRU;02310;;COUPRU;49.031876826,3.273861853
02222;COURBES;02800;;COURBES;49.681206282,3.459184066
02229;COURTRIZY ET FUSSIGNY;02820;;COURTRIZY ET FUSSIGNY;49.514499113,3.794815707
02231;COUVRON ET AUMENCOURT;02270;;COUVRON ET AUMENCOURT;49.645664143,3.523611371
02251;CUIRY LES IVIERS;02360;;CUIRY LES IVIERS;49.766134672,4.105017142
02262;DEUILLET;02700;;DEUILLET;49.628621274,3.360966214
02275;EFFRY;02500;;EFFRY;49.919471678,3.987897538
